# DRO_SourceID DetLink DetSlot DetCrate DetID DRO_Host DRO_Card DRO_SLR DRO_Link
264 0 0 22 3 pc-tbed-tpu-05012 0 0 0
265 0 1 22 3 pc-tbed-tpu-05012 0 0 1
266 0 2 22 3 pc-tbed-tpu-05012 0 0 2
267 0 3 22 3 pc-tbed-tpu-05012 0 0 3
268 0 4 22 3 pc-tbed-tpu-05012 0 0 4
269 0 5 22 3 pc-tbed-tpu-05012 0 0 5
270 0 6 22 3 pc-tbed-tpu-05012 0 0 6
271 0 7 22 3 pc-tbed-tpu-05012 0 0 7
272 0 8 22 3 pc-tbed-tpu-05012 0 0 8
273 0 9 22 3 pc-tbed-tpu-05012 0 0 9
274 0 10 22 3 pc-tbed-tpu-05012 0 0 10
275 0 11 22 3 pc-tbed-tpu-05012 0 0 11
276 0 0 23 3 pc-tbed-tpu-05012 1 0 0
277 0 1 23 3 pc-tbed-tpu-05012 1 0 1
278 0 2 23 3 pc-tbed-tpu-05012 1 0 2
279 0 3 23 3 pc-tbed-tpu-05012 1 0 3
280 0 4 23 3 pc-tbed-tpu-05012 1 0 4
281 0 5 23 3 pc-tbed-tpu-05012 1 0 5
282 0 6 23 3 pc-tbed-tpu-05012 1 0 6
283 0 7 23 3 pc-tbed-tpu-05012 1 0 7
284 0 8 23 3 pc-tbed-tpu-05012 1 0 8
285 0 9 23 3 pc-tbed-tpu-05012 1 0 9
286 0 10 23 3 pc-tbed-tpu-05012 1 0 10
287 0 11 23 3 pc-tbed-tpu-05012 1 0 11
288 0 0 24 3 pc-tbed-tpu-05013 0 0 0
289 0 1 24 3 pc-tbed-tpu-05013 0 0 1
290 0 2 24 3 pc-tbed-tpu-05013 0 0 2
291 0 3 24 3 pc-tbed-tpu-05013 0 0 3
292 0 4 24 3 pc-tbed-tpu-05013 0 0 4
293 0 5 24 3 pc-tbed-tpu-05013 0 0 5
294 0 6 24 3 pc-tbed-tpu-05013 0 0 6
295 0 7 24 3 pc-tbed-tpu-05013 0 0 7
296 0 8 24 3 pc-tbed-tpu-05013 0 0 8
297 0 9 24 3 pc-tbed-tpu-05013 0 0 9
298 0 10 24 3 pc-tbed-tpu-05013 0 0 10
299 0 11 24 3 pc-tbed-tpu-05013 0 0 11
300 0 0 25 3 pc-tbed-tpu-05013 1 0 0
301 0 1 25 3 pc-tbed-tpu-05013 1 0 1
302 0 2 25 3 pc-tbed-tpu-05013 1 0 2
303 0 3 25 3 pc-tbed-tpu-05013 1 0 3
304 0 4 25 3 pc-tbed-tpu-05013 1 0 4
305 0 5 25 3 pc-tbed-tpu-05013 1 0 5
306 0 6 25 3 pc-tbed-tpu-05013 1 0 6
307 0 7 25 3 pc-tbed-tpu-05013 1 0 7
308 0 8 25 3 pc-tbed-tpu-05013 1 0 8
309 0 9 25 3 pc-tbed-tpu-05013 1 0 9
310 0 10 25 3 pc-tbed-tpu-05013 1 0 10
311 0 11 25 3 pc-tbed-tpu-05013 1 0 11
312 0 0 26 3 pc-tbed-tpu-05014 0 0 0
313 0 1 26 3 pc-tbed-tpu-05014 0 0 1
314 0 2 26 3 pc-tbed-tpu-05014 0 0 2
315 0 3 26 3 pc-tbed-tpu-05014 0 0 3
316 0 4 26 3 pc-tbed-tpu-05014 0 0 4
317 0 5 26 3 pc-tbed-tpu-05014 0 0 5
318 0 6 26 3 pc-tbed-tpu-05014 0 0 6
319 0 7 26 3 pc-tbed-tpu-05014 0 0 7
320 0 8 26 3 pc-tbed-tpu-05014 0 0 8
321 0 9 26 3 pc-tbed-tpu-05014 0 0 9
322 0 10 26 3 pc-tbed-tpu-05014 0 0 10
